track_id,title,artist_name,album_name,genre,duration_ms,popularity,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,loudness,mode,key,time_signature,mood_bucket,main_genre,danceability_label,energy_label,mood_label,tempo_label,acoustic_label,loudness_label,mode_label
4j00AaxZI0YKEs9vz3d4KE,Yule Shoot Your Eye Out,Fall Out Boy,Alternative Christmas 2022,rock,221013,0,0.668,0.522,0.718,107.979,0.696,0.0,0.609,0.0311,-7.42,1,4,4,focus,rock,medium,medium,happy,medium,mixed,normal,major (bright)
5AxRST0P1xkTHjxSs9YGQQ,Enemy - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",Arbeitsmusik Herbst/Winter 2022/2023,rock,173381,0,0.728,0.783,0.555,77.011,0.237,0.0,0.434,0.266,-4.424,0,11,4,focus,rock,high,energetic,neutral,slow,electronic,loud,minor (moody)
5gS3JPm2kmLGUvLc4BlQ3w,Run Back Into Your Arms,Rod Stewart,Mellow Adult Pop,rock,206360,0,0.589,0.92,0.893,146.439,0.0857,0.0,0.355,0.0603,-5.716,1,2,3,happy,rock,medium,energetic,happy,fast,electronic,loud,major (bright)
2MuOJXZSH66oW72tEjoCqQ,It's Uncanny,Daryl Hall & John Oates,Thanksgiving Party,rock,224453,0,0.742,0.849,0.964,107.188,0.346,0.000115,0.194,0.0376,-6.28,1,2,4,happy,rock,high,energetic,happy,medium,mixed,normal,major (bright)
6ZkwokCipkGiqvpnIt2APo,Linger,The Cranberries,Del gusto de mamá,rock,273600,0,0.201,0.762,0.131,94.832,0.0953,1.46e-05,0.358,0.0337,-6.376,1,7,4,focus,rock,low,energetic,sad,medium,electronic,normal,major (bright)
3Qx4d8pZPhakg3xllKSp9w,What Are You Doing New Year's Eve?,"Rod Stewart, Ella Fitzgerald, Chris Botti",Calm Christmas,rock,221826,0,0.362,0.265,0.224,76.404,0.94,0.0,0.107,0.0355,-10.084,1,8,4,sad,rock,low,calm,sad,slow,acoustic,normal,major (bright)
3uYMNYNO2Us6QID3MJULtY,"Merry Christmas, Baby","Rod Stewart, CeeLo Green, Trombone Shorty",pov: you are walking in a winter wonderland,rock,231226,0,0.463,0.677,0.782,202.05,0.257,0.0,0.089,0.0417,-5.528,1,10,4,happy,rock,medium,medium,happy,fast,electronic,loud,major (bright)
6De9ubJDVGHTWi3TaZpFIS,Santa Claus Is Coming To Town,Rod Stewart,Christmas Classics,rock,166666,0,0.759,0.451,0.679,112.099,0.611,0.0,0.263,0.0471,-9.136,1,5,4,chill,rock,high,medium,happy,medium,mixed,normal,major (bright)
4Ma1qNM1X6iz4s3rKBTmRw,You Wear It Well,Rod Stewart,Fiesta temática 70s,rock,261760,0,0.543,0.682,0.865,127.31,0.434,6.75e-06,0.252,0.0313,-6.928,1,2,4,happy,rock,medium,medium,happy,fast,mixed,normal,major (bright)
2o9Q5VeH9Dw0IAps33XDBF,Street Fighting Man,Rod Stewart,Fiesta temática 60s,rock,307866,0,0.537,0.77,0.611,136.82,0.285,0.00294,0.0978,0.0443,-6.943,1,11,4,happy,rock,medium,energetic,neutral,fast,electronic,normal,major (bright)
7HUlOKnGX8VZjwSCdd6N7X,Dirt On My Boots,Jon Pardi,Country USA,rock,201893,0,0.683,0.796,0.533,90.031,0.112,0.0,0.197,0.0284,-4.179,1,11,4,focus,rock,medium,energetic,neutral,medium,electronic,loud,major (bright)
17G4EoPg6D3gIiJ21JaE4r,Infinity - PRETTY YOUNG Remix,"Jaymes Young, PRETTY YOUNG",Upbeat Pop,rock,210500,0,0.543,0.595,0.338,122.052,0.0432,0.000247,0.101,0.0477,-8.61,0,11,4,focus,rock,medium,medium,neutral,fast,electronic,normal,minor (moody)
4Fs8Ae2PYNKQJnZmqSsKuw,Habits of My Heart,Jaymes Young,Low-Key Hits,rock,210639,0,0.392,0.496,0.589,72.024,0.664,0.000114,0.34,0.114,-7.632,1,7,4,chill,rock,low,medium,neutral,slow,mixed,normal,major (bright)
0YzjbFKOZu0oUu8dSC4k7u,Have Yourself A Merry Little Christmas,Rod Stewart,Best Christmas Songs 2022,rock,268733,0,0.401,0.175,0.29,68.049,0.927,2.1e-06,0.103,0.0314,-12.22,1,2,4,sad,rock,medium,calm,sad,slow,acoustic,quiet,major (bright)
20oObdEfRtnT9PkZ6YqOP2,Fill 'Er Up,Jon Pardi,Tailgate Country,rock,168512,0,0.652,0.746,0.876,135.063,0.0142,0.0,0.272,0.0286,-5.325,1,9,4,happy,rock,medium,energetic,happy,fast,electronic,loud,major (bright)
65EReuqyiXH0WMIaeFEIlX,Baby Jane,Rod Stewart,80's,rock,283493,0,0.641,0.798,0.732,123.229,0.0136,0.000106,0.358,0.0406,-8.56,0,2,4,happy,rock,medium,energetic,happy,fast,electronic,normal,minor (moody)
0dzKBptH2P5j5a0MifBMwM,If It Kills Me,Jason Mraz,Feeling Good - Adult Pop Favorites,rock,273653,0,0.633,0.429,0.52,143.793,0.0444,0.0,0.132,0.0381,-6.784,0,4,4,focus,rock,medium,medium,neutral,fast,electronic,normal,minor (moody)
5VFKfahPr6qgucDOv7oMIh,Heartache On The Dance Floor,Jon Pardi,Mientras hago aromaterapia,rock,205200,0,0.596,0.833,0.618,115.997,0.0563,0.0,0.0866,0.0474,-4.308,1,9,4,happy,rock,medium,energetic,neutral,medium,electronic,loud,major (bright)
